Id	French	English	Chapter	Section	Subsection
ang_modern_00018	hypothèse	hypothesis	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00019	induction	induction	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00020	intellect	intellect	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00021	intuition	intuition	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00022	invention	invention	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00023	inventeur	inventor	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00024	laboratoire	laboratory (lab)	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00025	loi	law	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00026	matière	matter	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00027	mesure	measure*, measurement	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00028	observation	observation	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00029	postulat	postulate	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00030	preuve	proof, evidence	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00031	progrès	progress	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00032	propriété	property	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00033	raisonnement	reasoning	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00034	recherche	research	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00035	résultat	result	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00036	savant	scientist	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00037	savoir	knowledge	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00038	science	science	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00039	sciences appliquées	applied sciences	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00040	scientifique	scientific	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00041	scientisme	scientism	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00042	statistique	statistic	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00043	substance	substance	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00044	technicien	technician	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00045	technique	technique, (US) technic	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00046	technologie	technology	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00047	théoricien	theoretician	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00048	théorie	theory	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00049	unité (de mesure)	unit (of measure)	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00050	vulgarisation	popularization	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00051	déductif	deductive	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00052	empirique	empirical	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00053	expérimental	experimental	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00054	inductif	inductive	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00055	rationnel	rational	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00056	scientifique	scientific	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00057	statistique	statistical	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00058	technique	technical	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00059	technologique	technological	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
ang_modern_00060	théorique	theoretical	SCIENCE ET TECHNIQUES	VOCABULAIRE	LA SCIENCE ET LES SCIENTIFIQUES
